Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
356.04	0.88698	33.955	0.029451	440.78	466.90	1.8629	0.88614	1.0231	164.11	12.838	14.154	0.018366	vapor
356.28	0.88698	33.922	0.029480	441.01	467.15	1.8636	0.88642	1.0232	164.21	12.806	14.164	0.018385	vapor
356.52	0.88698	33.888	0.029509	441.23	467.40	1.8643	0.88670	1.0233	164.30	12.774	14.174	0.018404	vapor
356.77	0.88698	33.855	0.029538	441.45	467.65	1.8650	0.88698	1.0234	164.39	12.742	14.184	0.018422	vapor
357.01	0.88698	33.822	0.029567	441.67	467.90	1.8657	0.88726	1.0235	164.48	12.711	14.194	0.018441	vapor
357.25	0.88698	33.789	0.029596	441.90	468.15	1.8664	0.88754	1.0236	164.57	12.679	14.204	0.018460	vapor
357.50	0.88698	33.756	0.029625	442.12	468.40	1.8671	0.88782	1.0237	164.66	12.647	14.214	0.018479	vapor
357.74	0.88698	33.723	0.029654	442.34	468.65	1.8677	0.88810	1.0237	164.75	12.616	14.224	0.018497	vapor
357.98	0.88698	33.690	0.029683	442.57	468.90	1.8684	0.88839	1.0238	164.84	12.585	14.234	0.018516	vapor
358.23	0.88698	33.657	0.029711	442.79	469.14	1.8691	0.88867	1.0239	164.93	12.553	14.243	0.018535	vapor
358.47	0.88698	33.624	0.029740	443.01	469.39	1.8698	0.88895	1.0240	165.02	12.522	14.253	0.018553	vapor
358.71	0.88698	33.592	0.029769	443.24	469.64	1.8705	0.88924	1.0241	165.11	12.491	14.263	0.018572	vapor
358.95	0.88698	33.559	0.029798	443.46	469.89	1.8712	0.88952	1.0242	165.20	12.461	14.273	0.018591	vapor
359.20	0.88698	33.527	0.029827	443.68	470.14	1.8719	0.88981	1.0243	165.29	12.430	14.283	0.018610	vapor
359.44	0.88698	33.495	0.029856	443.91	470.39	1.8726	0.89009	1.0244	165.38	12.399	14.293	0.018628	vapor
359.68	0.88698	33.462	0.029884	444.13	470.64	1.8733	0.89038	1.0245	165.47	12.369	14.303	0.018647	vapor
359.93	0.88698	33.430	0.029913	444.35	470.89	1.8740	0.89067	1.0246	165.56	12.339	14.313	0.018666	vapor
360.17	0.88698	33.398	0.029942	444.58	471.14	1.8747	0.89095	1.0248	165.65	12.308	14.322	0.018685	vapor
360.41	0.88698	33.366	0.029971	444.80	471.39	1.8754	0.89124	1.0249	165.74	12.278	14.332	0.018703	vapor
360.66	0.88698	33.334	0.029999	445.03	471.63	1.8761	0.89153	1.0250	165.83	12.248	14.342	0.018722	vapor
360.90	0.88698	33.302	0.030028	445.25	471.88	1.8768	0.89182	1.0251	165.92	12.218	14.352	0.018741	vapor
361.14	0.88698	33.271	0.030057	445.47	472.13	1.8774	0.89211	1.0252	166.01	12.189	14.362	0.018760	vapor
361.39	0.88698	33.239	0.030085	445.70	472.38	1.8781	0.89240	1.0253	166.10	12.159	14.372	0.018779	vapor
361.63	0.88698	33.207	0.030114	445.92	472.63	1.8788	0.89269	1.0254	166.18	12.129	14.381	0.018797	vapor
361.87	0.88698	33.176	0.030142	446.14	472.88	1.8795	0.89298	1.0256	166.27	12.100	14.391	0.018816	vapor
362.11	0.88698	33.144	0.030171	446.37	473.13	1.8802	0.89327	1.0257	166.36	12.071	14.401	0.018835	vapor
362.36	0.88698	33.113	0.030200	446.59	473.38	1.8809	0.89357	1.0258	166.45	12.041	14.411	0.018854	vapor
362.60	0.88698	33.082	0.030228	446.82	473.63	1.8816	0.89386	1.0259	166.54	12.012	14.421	0.018872	vapor
362.84	0.88698	33.051	0.030257	447.04	473.88	1.8823	0.89415	1.0260	166.62	11.983	14.431	0.018891	vapor
363.09	0.88698	33.020	0.030285	447.26	474.13	1.8830	0.89444	1.0262	166.71	11.954	14.440	0.018910	vapor
363.33	0.88698	32.989	0.030314	447.49	474.38	1.8836	0.89474	1.0263	166.80	11.926	14.450	0.018929	vapor
363.57	0.88698	32.958	0.030342	447.71	474.63	1.8843	0.89503	1.0264	166.89	11.897	14.460	0.018948	vapor
363.82	0.88698	32.927	0.030370	447.94	474.88	1.8850	0.89533	1.0265	166.98	11.868	14.470	0.018966	vapor
364.06	0.88698	32.896	0.030399	448.16	475.13	1.8857	0.89562	1.0267	167.06	11.840	14.480	0.018985	vapor
364.30	0.88698	32.865	0.030427	448.39	475.37	1.8864	0.89592	1.0268	167.15	11.812	14.490	0.019004	vapor
364.55	0.88698	32.835	0.030456	448.61	475.62	1.8871	0.89621	1.0269	167.24	11.783	14.499	0.019023	vapor
364.79	0.88698	32.804	0.030484	448.84	475.87	1.8878	0.89651	1.0271	167.32	11.755	14.509	0.019042	vapor
365.03	0.88698	32.774	0.030512	449.06	476.12	1.8884	0.89681	1.0272	167.41	11.727	14.519	0.019061	vapor
365.27	0.88698	32.743	0.030541	449.28	476.37	1.8891	0.89710	1.0273	167.50	11.699	14.529	0.019079	vapor
365.52	0.88698	32.713	0.030569	449.51	476.62	1.8898	0.89740	1.0275	167.58	11.671	14.539	0.019098	vapor
365.76	0.88698	32.683	0.030597	449.73	476.87	1.8905	0.89770	1.0276	167.67	11.644	14.548	0.019117	vapor
366.00	0.88698	32.652	0.030626	449.96	477.12	1.8912	0.89800	1.0278	167.76	11.616	14.558	0.019136	vapor
366.25	0.88698	32.622	0.030654	450.18	477.37	1.8919	0.89830	1.0279	167.84	11.588	14.568	0.019155	vapor
366.49	0.88698	32.592	0.030682	450.41	477.62	1.8925	0.89860	1.0281	167.93	11.561	14.578	0.019174	vapor
366.73	0.88698	32.562	0.030710	450.63	477.87	1.8932	0.89890	1.0282	168.02	11.534	14.588	0.019192	vapor
366.98	0.88698	32.532	0.030739	450.86	478.12	1.8939	0.89920	1.0283	168.10	11.506	14.597	0.019211	vapor
367.22	0.88698	32.503	0.030767	451.08	478.37	1.8946	0.89950	1.0285	168.19	11.479	14.607	0.019230	vapor
367.46	0.88698	32.473	0.030795	451.31	478.62	1.8953	0.89980	1.0286	168.27	11.452	14.617	0.019249	vapor
367.71	0.88698	32.443	0.030823	451.53	478.87	1.8959	0.90010	1.0288	168.36	11.425	14.627	0.019268	vapor
367.95	0.88698	32.414	0.030851	451.76	479.12	1.8966	0.90040	1.0289	168.44	11.398	14.636	0.019287	vapor
368.19	0.88698	32.384	0.030879	451.98	479.37	1.8973	0.90070	1.0291	168.53	11.372	14.646	0.019306	vapor
368.43	0.88698	32.355	0.030907	452.21	479.62	1.8980	0.90100	1.0292	168.61	11.345	14.656	0.019325	vapor
368.68	0.88698	32.325	0.030936	452.43	479.87	1.8987	0.90131	1.0294	168.70	11.318	14.666	0.019343	vapor
368.92	0.88698	32.296	0.030964	452.66	480.12	1.8993	0.90161	1.0295	168.78	11.292	14.675	0.019362	vapor
369.16	0.88698	32.267	0.030992	452.88	480.37	1.9000	0.90191	1.0297	168.87	11.266	14.685	0.019381	vapor
369.41	0.88698	32.238	0.031020	453.11	480.62	1.9007	0.90222	1.0299	168.95	11.239	14.695	0.019400	vapor
369.65	0.88698	32.209	0.031048	453.34	480.87	1.9014	0.90252	1.0300	169.04	11.213	14.705	0.019419	vapor
369.89	0.88698	32.179	0.031076	453.56	481.12	1.9020	0.90283	1.0302	169.12	11.187	14.715	0.019438	vapor
370.14	0.88698	32.151	0.031104	453.79	481.38	1.9027	0.90313	1.0303	169.21	11.161	14.724	0.019457	vapor
370.38	0.88698	32.122	0.031132	454.01	481.63	1.9034	0.90344	1.0305	169.29	11.135	14.734	0.019476	vapor
370.62	0.88698	32.093	0.031160	454.24	481.88	1.9041	0.90374	1.0307	169.38	11.109	14.744	0.019494	vapor
370.87	0.88698	32.064	0.031188	454.46	482.13	1.9048	0.90405	1.0308	169.46	11.084	14.754	0.019513	vapor
371.11	0.88698	32.035	0.031215	454.69	482.38	1.9054	0.90435	1.0310	169.54	11.058	14.763	0.019532	vapor
371.35	0.88698	32.007	0.031243	454.92	482.63	1.9061	0.90466	1.0312	169.63	11.032	14.773	0.019551	vapor
371.59	0.88698	31.978	0.031271	455.14	482.88	1.9068	0.90497	1.0313	169.71	11.007	14.783	0.019570	vapor
371.84	0.88698	31.950	0.031299	455.37	483.13	1.9075	0.90527	1.0315	169.80	10.982	14.792	0.019589	vapor
372.08	0.88698	31.921	0.031327	455.59	483.38	1.9081	0.90558	1.0317	169.88	10.956	14.802	0.019608	vapor
372.32	0.88698	31.893	0.031355	455.82	483.63	1.9088	0.90589	1.0318	169.96	10.931	14.812	0.019627	vapor
372.57	0.88698	31.865	0.031383	456.05	483.88	1.9095	0.90620	1.0320	170.05	10.906	14.822	0.019646	vapor
372.81	0.88698	31.837	0.031410	456.27	484.13	1.9101	0.90651	1.0322	170.13	10.881	14.831	0.019665	vapor
373.05	0.88698	31.808	0.031438	456.50	484.38	1.9108	0.90681	1.0323	170.21	10.856	14.841	0.019684	vapor
373.30	0.88698	31.780	0.031466	456.72	484.63	1.9115	0.90712	1.0325	170.30	10.831	14.851	0.019702	vapor
373.54	0.88698	31.752	0.031494	456.95	484.89	1.9122	0.90743	1.0327	170.38	10.806	14.861	0.019721	vapor
373.78	0.88698	31.724	0.031522	457.18	485.14	1.9128	0.90774	1.0329	170.46	10.782	14.870	0.019740	vapor
374.03	0.88698	31.696	0.031549	457.40	485.39	1.9135	0.90805	1.0330	170.55	10.757	14.880	0.019759	vapor
374.27	0.88698	31.669	0.031577	457.63	485.64	1.9142	0.90836	1.0332	170.63	10.733	14.890	0.019778	vapor
374.51	0.88698	31.641	0.031605	457.86	485.89	1.9149	0.90867	1.0334	170.71	10.708	14.899	0.019797	vapor
374.75	0.88698	31.613	0.031632	458.08	486.14	1.9155	0.90898	1.0336	170.79	10.684	14.909	0.019816	vapor
375.00	0.88698	31.586	0.031660	458.31	486.39	1.9162	0.90930	1.0338	170.88	10.660	14.919	0.019835	vapor
375.24	0.88698	31.558	0.031688	458.54	486.64	1.9169	0.90961	1.0339	170.96	10.635	14.929	0.019854	vapor
375.48	0.88698	31.530	0.031715	458.76	486.90	1.9175	0.90992	1.0341	171.04	10.611	14.938	0.019873	vapor
375.73	0.88698	31.503	0.031743	458.99	487.15	1.9182	0.91023	1.0343	171.12	10.587	14.948	0.019892	vapor
375.97	0.88698	31.476	0.031771	459.22	487.40	1.9189	0.91054	1.0345	171.20	10.563	14.958	0.019911	vapor
376.21	0.88698	31.448	0.031798	459.45	487.65	1.9195	0.91086	1.0347	171.29	10.540	14.967	0.019930	vapor
376.46	0.88698	31.421	0.031826	459.67	487.90	1.9202	0.91117	1.0349	171.37	10.516	14.977	0.019949	vapor
376.70	0.88698	31.394	0.031853	459.90	488.15	1.9209	0.91148	1.0350	171.45	10.492	14.987	0.019968	vapor
376.94	0.88698	31.367	0.031881	460.13	488.40	1.9215	0.91179	1.0352	171.53	10.469	14.996	0.019987	vapor
377.19	0.88698	31.340	0.031908	460.35	488.66	1.9222	0.91211	1.0354	171.61	10.445	15.006	0.020006	vapor
377.43	0.88698	31.313	0.031936	460.58	488.91	1.9229	0.91242	1.0356	171.69	10.422	15.016	0.020025	vapor
377.67	0.88698	31.286	0.031964	460.81	489.16	1.9235	0.91274	1.0358	171.78	10.398	15.025	0.020043	vapor
377.91	0.88698	31.259	0.031991	461.04	489.41	1.9242	0.91305	1.0360	171.86	10.375	15.035	0.020062	vapor
378.16	0.88698	31.232	0.032019	461.26	489.66	1.9249	0.91337	1.0362	171.94	10.352	15.045	0.020081	vapor
378.40	0.88698	31.205	0.032046	461.49	489.91	1.9255	0.91368	1.0364	172.02	10.329	15.055	0.020100	vapor
378.64	0.88698	31.178	0.032073	461.72	490.17	1.9262	0.91400	1.0366	172.10	10.306	15.064	0.020119	vapor
378.89	0.88698	31.152	0.032101	461.95	490.42	1.9269	0.91431	1.0368	172.18	10.283	15.074	0.020138	vapor
379.13	0.88698	31.125	0.032128	462.17	490.67	1.9275	0.91463	1.0370	172.26	10.260	15.084	0.020157	vapor
379.37	0.88698	31.099	0.032156	462.40	490.92	1.9282	0.91494	1.0371	172.34	10.237	15.093	0.020176	vapor
379.62	0.88698	31.072	0.032183	462.63	491.18	1.9289	0.91526	1.0373	172.42	10.214	15.103	0.020195	vapor
379.86	0.88698	31.046	0.032210	462.86	491.43	1.9295	0.91558	1.0375	172.50	10.192	15.113	0.020214	vapor
380.10	0.88698	31.019	0.032238	463.09	491.68	1.9302	0.91589	1.0377	172.58	10.169	15.122	0.020233	vapor
380.35	0.88698	30.993	0.032265	463.31	491.93	1.9309	0.91621	1.0379	172.66	10.146	15.132	0.020252	vapor
380.59	0.88698	30.967	0.032293	463.54	492.18	1.9315	0.91653	1.0381	172.74	10.124	15.142	0.020271	vapor
380.83	0.88698	30.941	0.032320	463.77	492.44	1.9322	0.91684	1.0383	172.82	10.102	15.151	0.020290	vapor
381.08	0.88698	30.915	0.032347	464.00	492.69	1.9328	0.91716	1.0385	172.90	10.079	15.161	0.020309	vapor
381.32	0.88698	30.888	0.032375	464.23	492.94	1.9335	0.91748	1.0387	172.98	10.057	15.171	0.020328	vapor
381.56	0.88698	30.862	0.032402	464.45	493.19	1.9342	0.91780	1.0389	173.06	10.035	15.180	0.020347	vapor
381.80	0.88698	30.837	0.032429	464.68	493.45	1.9348	0.91812	1.0391	173.14	10.013	15.190	0.020366	vapor
382.05	0.88698	30.811	0.032456	464.91	493.70	1.9355	0.91843	1.0394	173.22	9.9909	15.199	0.020385	vapor
382.29	0.88698	30.785	0.032484	465.14	493.95	1.9362	0.91875	1.0396	173.30	9.9689	15.209	0.020404	vapor
382.53	0.88698	30.759	0.032511	465.37	494.20	1.9368	0.91907	1.0398	173.38	9.9471	15.219	0.020423	vapor
382.78	0.88698	30.733	0.032538	465.60	494.46	1.9375	0.91939	1.0400	173.46	9.9253	15.228	0.020442	vapor
383.02	0.88698	30.708	0.032565	465.83	494.71	1.9381	0.91971	1.0402	173.54	9.9036	15.238	0.020461	vapor
383.26	0.88698	30.682	0.032592	466.05	494.96	1.9388	0.92003	1.0404	173.62	9.8820	15.248	0.020480	vapor
383.51	0.88698	30.656	0.032620	466.28	495.22	1.9395	0.92035	1.0406	173.70	9.8604	15.257	0.020499	vapor
383.75	0.88698	30.631	0.032647	466.51	495.47	1.9401	0.92067	1.0408	173.78	9.8389	15.267	0.020518	vapor
383.99	0.88698	30.605	0.032674	466.74	495.72	1.9408	0.92099	1.0410	173.86	9.8175	15.277	0.020537	vapor
384.24	0.88698	30.580	0.032701	466.97	495.98	1.9414	0.92131	1.0412	173.94	9.7961	15.286	0.020556	vapor
384.48	0.88698	30.555	0.032728	467.20	496.23	1.9421	0.92163	1.0414	174.01	9.7748	15.296	0.020575	vapor
384.72	0.88698	30.529	0.032755	467.43	496.48	1.9428	0.92195	1.0416	174.09	9.7536	15.305	0.020594	vapor
384.96	0.88698	30.504	0.032783	467.66	496.73	1.9434	0.92228	1.0419	174.17	9.7324	15.315	0.020613	vapor
385.21	0.88698	30.479	0.032810	467.89	496.99	1.9441	0.92260	1.0421	174.25	9.7113	15.325	0.020632	vapor
385.45	0.88698	30.454	0.032837	468.12	497.24	1.9447	0.92292	1.0423	174.33	9.6903	15.334	0.020651	vapor
385.69	0.88698	30.429	0.032864	468.35	497.49	1.9454	0.92324	1.0425	174.41	9.6694	15.344	0.020670	vapor
385.94	0.88698	30.404	0.032891	468.57	497.75	1.9460	0.92356	1.0427	174.49	9.6485	15.354	0.020689	vapor
386.18	0.88698	30.379	0.032918	468.80	498.00	1.9467	0.92389	1.0429	174.56	9.6277	15.363	0.020708	vapor
386.42	0.88698	30.354	0.032945	469.03	498.26	1.9474	0.92421	1.0432	174.64	9.6069	15.373	0.020727	vapor
386.67	0.88698	30.329	0.032972	469.26	498.51	1.9480	0.92453	1.0434	174.72	9.5863	15.382	0.020747	vapor
386.91	0.88698	30.304	0.032999	469.49	498.76	1.9487	0.92485	1.0436	174.80	9.5656	15.392	0.020766	vapor
387.15	0.88698	30.279	0.033026	469.72	499.02	1.9493	0.92518	1.0438	174.88	9.5451	15.402	0.020785	vapor
387.40	0.88698	30.255	0.033053	469.95	499.27	1.9500	0.92550	1.0440	174.95	9.5246	15.411	0.020804	vapor
387.64	0.88698	30.230	0.033080	470.18	499.52	1.9506	0.92582	1.0442	175.03	9.5042	15.421	0.020823	vapor
387.88	0.88698	30.205	0.033107	470.41	499.78	1.9513	0.92615	1.0445	175.11	9.4839	15.430	0.020842	vapor
388.12	0.88698	30.181	0.033134	470.64	500.03	1.9519	0.92647	1.0447	175.19	9.4636	15.440	0.020861	vapor
388.37	0.88698	30.156	0.033161	470.87	500.29	1.9526	0.92679	1.0449	175.26	9.4433	15.450	0.020880	vapor
388.61	0.88698	30.132	0.033188	471.10	500.54	1.9532	0.92712	1.0451	175.34	9.4232	15.459	0.020899	vapor
388.85	0.88698	30.107	0.033215	471.33	500.79	1.9539	0.92744	1.0454	175.42	9.4031	15.469	0.020918	vapor
389.10	0.88698	30.083	0.033241	471.56	501.05	1.9546	0.92777	1.0456	175.50	9.3831	15.478	0.020937	vapor
389.34	0.88698	30.059	0.033268	471.79	501.30	1.9552	0.92809	1.0458	175.57	9.3631	15.488	0.020956	vapor
389.58	0.88698	30.034	0.033295	472.02	501.56	1.9559	0.92842	1.0460	175.65	9.3432	15.498	0.020975	vapor
389.83	0.88698	30.010	0.033322	472.25	501.81	1.9565	0.92874	1.0463	175.73	9.3234	15.507	0.020994	vapor
390.07	0.88698	29.986	0.033349	472.48	502.06	1.9572	0.92907	1.0465	175.80	9.3036	15.517	0.021013	vapor
390.31	0.88698	29.962	0.033376	472.72	502.32	1.9578	0.92939	1.0467	175.88	9.2839	15.526	0.021032	vapor
390.56	0.88698	29.938	0.033403	472.95	502.57	1.9585	0.92972	1.0469	175.96	9.2642	15.536	0.021051	vapor
390.80	0.88698	29.914	0.033429	473.18	502.83	1.9591	0.93004	1.0472	176.03	9.2446	15.545	0.021070	vapor
391.04	0.88698	29.890	0.033456	473.41	503.08	1.9598	0.93037	1.0474	176.11	9.2251	15.555	0.021089	vapor
391.28	0.88698	29.866	0.033483	473.64	503.34	1.9604	0.93070	1.0476	176.19	9.2056	15.565	0.021108	vapor
391.53	0.88698	29.842	0.033510	473.87	503.59	1.9611	0.93102	1.0479	176.26	9.1862	15.574	0.021128	vapor
391.77	0.88698	29.818	0.033537	474.10	503.85	1.9617	0.93135	1.0481	176.34	9.1669	15.584	0.021147	vapor
392.01	0.88698	29.794	0.033563	474.33	504.10	1.9624	0.93168	1.0483	176.42	9.1476	15.593	0.021166	vapor
392.26	0.88698	29.771	0.033590	474.56	504.36	1.9630	0.93200	1.0485	176.49	9.1283	15.603	0.021185	vapor
392.50	0.88698	29.747	0.033617	474.79	504.61	1.9637	0.93233	1.0488	176.57	9.1092	15.612	0.021204	vapor
392.74	0.88698	29.723	0.033644	475.03	504.87	1.9643	0.93266	1.0490	176.64	9.0901	15.622	0.021223	vapor
392.99	0.88698	29.700	0.033670	475.26	505.12	1.9650	0.93298	1.0492	176.72	9.0710	15.632	0.021242	vapor
393.23	0.88698	29.676	0.033697	475.49	505.38	1.9656	0.93331	1.0495	176.80	9.0520	15.641	0.021261	vapor
393.47	0.88698	29.653	0.033724	475.72	505.63	1.9663	0.93364	1.0497	176.87	9.0331	15.651	0.021280	vapor
393.72	0.88698	29.629	0.033750	475.95	505.89	1.9669	0.93397	1.0499	176.95	9.0142	15.660	0.021299	vapor
393.96	0.88698	29.606	0.033777	476.18	506.14	1.9676	0.93429	1.0502	177.02	8.9954	15.670	0.021318	vapor
394.20	0.88698	29.582	0.033804	476.41	506.40	1.9682	0.93462	1.0504	177.10	8.9767	15.679	0.021337	vapor
394.44	0.88698	29.559	0.033830	476.65	506.65	1.9689	0.93495	1.0507	177.17	8.9580	15.689	0.021356	vapor
394.69	0.88698	29.536	0.033857	476.88	506.91	1.9695	0.93528	1.0509	177.25	8.9393	15.698	0.021376	vapor
394.93	0.88698	29.513	0.033884	477.11	507.16	1.9702	0.93561	1.0511	177.33	8.9208	15.708	0.021395	vapor
395.17	0.88698	29.490	0.033910	477.34	507.42	1.9708	0.93594	1.0514	177.40	8.9022	15.718	0.021414	vapor
395.42	0.88698	29.466	0.033937	477.57	507.67	1.9714	0.93627	1.0516	177.48	8.8838	15.727	0.021433	vapor
395.66	0.88698	29.443	0.033964	477.81	507.93	1.9721	0.93659	1.0518	177.55	8.8653	15.737	0.021452	vapor
395.90	0.88698	29.420	0.033990	478.04	508.19	1.9727	0.93692	1.0521	177.63	8.8470	15.746	0.021471	vapor
396.15	0.88698	29.397	0.034017	478.27	508.44	1.9734	0.93725	1.0523	177.70	8.8287	15.756	0.021490	vapor
396.39	0.88698	29.374	0.034043	478.50	508.70	1.9740	0.93758	1.0526	177.78	8.8105	15.765	0.021509	vapor
396.63	0.88698	29.351	0.034070	478.73	508.95	1.9747	0.93791	1.0528	177.85	8.7923	15.775	0.021528	vapor
396.88	0.88698	29.329	0.034096	478.97	509.21	1.9753	0.93824	1.0530	177.93	8.7741	15.784	0.021547	vapor
397.12	0.88698	29.306	0.034123	479.20	509.47	1.9760	0.93857	1.0533	178.00	8.7561	15.794	0.021566	vapor
397.36	0.88698	29.283	0.034149	479.43	509.72	1.9766	0.93890	1.0535	178.08	8.7380	15.803	0.021586	vapor
397.60	0.88698	29.260	0.034176	479.66	509.98	1.9773	0.93923	1.0538	178.15	8.7201	15.813	0.021605	vapor
397.85	0.88698	29.238	0.034202	479.90	510.23	1.9779	0.93956	1.0540	178.22	8.7022	15.822	0.021624	vapor
398.09	0.88698	29.215	0.034229	480.13	510.49	1.9785	0.93989	1.0543	178.30	8.6843	15.832	0.021643	vapor
398.33	0.88698	29.192	0.034255	480.36	510.75	1.9792	0.94022	1.0545	178.37	8.6665	15.841	0.021662	vapor
398.58	0.88698	29.170	0.034282	480.60	511.00	1.9798	0.94055	1.0548	178.45	8.6488	15.851	0.021681	vapor
398.82	0.88698	29.147	0.034308	480.83	511.26	1.9805	0.94088	1.0550	178.52	8.6311	15.861	0.021700	vapor
399.06	0.88698	29.125	0.034335	481.06	511.52	1.9811	0.94122	1.0552	178.60	8.6134	15.870	0.021719	vapor
399.31	0.88698	29.102	0.034361	481.29	511.77	1.9818	0.94155	1.0555	178.67	8.5958	15.880	0.021738	vapor
399.55	0.88698	29.080	0.034388	481.53	512.03	1.9824	0.94188	1.0557	178.74	8.5783	15.889	0.021758	vapor
399.79	0.88698	29.058	0.034414	481.76	512.29	1.9830	0.94221	1.0560	178.82	8.5608	15.899	0.021777	vapor
400.04	0.88698	29.035	0.034441	481.99	512.54	1.9837	0.94254	1.0562	178.89	8.5434	15.908	0.021796	vapor
400.28	0.88698	29.013	0.034467	482.23	512.80	1.9843	0.94287	1.0565	178.97	8.5260	15.918	0.021815	vapor
400.52	0.88698	28.991	0.034493	482.46	513.06	1.9850	0.94320	1.0567	179.04	8.5087	15.927	0.021834	vapor
400.76	0.88698	28.969	0.034520	482.69	513.31	1.9856	0.94354	1.0570	179.11	8.4914	15.937	0.021853	vapor
401.01	0.88698	28.947	0.034546	482.93	513.57	1.9863	0.94387	1.0572	179.19	8.4742	15.946	0.021872	vapor
401.25	0.88698	28.925	0.034573	483.16	513.83	1.9869	0.94420	1.0575	179.26	8.4570	15.956	0.021891	vapor
401.49	0.88698	28.903	0.034599	483.40	514.08	1.9875	0.94453	1.0577	179.33	8.4399	15.965	0.021910	vapor
401.74	0.88698	28.881	0.034625	483.63	514.34	1.9882	0.94486	1.0580	179.41	8.4228	15.975	0.021930	vapor
401.98	0.88698	28.859	0.034652	483.86	514.60	1.9888	0.94520	1.0582	179.48	8.4058	15.984	0.021949	vapor
402.22	0.88698	28.837	0.034678	484.10	514.86	1.9895	0.94553	1.0585	179.55	8.3889	15.994	0.021968	vapor
402.47	0.88698	28.815	0.034704	484.33	515.11	1.9901	0.94586	1.0587	179.63	8.3719	16.003	0.021987	vapor
402.71	0.88698	28.793	0.034731	484.56	515.37	1.9907	0.94619	1.0590	179.70	8.3551	16.013	0.022006	vapor
402.95	0.88698	28.771	0.034757	484.80	515.63	1.9914	0.94653	1.0592	179.77	8.3383	16.022	0.022025	vapor
403.20	0.88698	28.750	0.034783	485.03	515.89	1.9920	0.94686	1.0595	179.85	8.3215	16.032	0.022044	vapor
403.44	0.88698	28.728	0.034809	485.27	516.14	1.9927	0.94719	1.0598	179.92	8.3048	16.041	0.022063	vapor
403.68	0.88698	28.706	0.034836	485.50	516.40	1.9933	0.94753	1.0600	179.99	8.2881	16.051	0.022083	vapor
403.92	0.88698	28.685	0.034862	485.74	516.66	1.9939	0.94786	1.0603	180.06	8.2715	16.060	0.022102	vapor
404.17	0.88698	28.663	0.034888	485.97	516.92	1.9946	0.94819	1.0605	180.14	8.2549	16.070	0.022121	vapor
404.41	0.88698	28.641	0.034914	486.21	517.17	1.9952	0.94853	1.0608	180.21	8.2384	16.079	0.022140	vapor
404.65	0.88698	28.620	0.034941	486.44	517.43	1.9958	0.94886	1.0610	180.28	8.2219	16.088	0.022159	vapor
